Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);FEV1, L;FEV1, % predicted;FEV1 before salbutamol (% predicted);FEV1 after salbutamol (% predicted);PC20 аfer methacholine;Severity
IL12;;2.654738878;0.422469375;NA;NA;NA;164.7;26.21;NA;NA;NA;pM;pg/ml;Blood;Healthy control;Median;SD;PMID;20548133;;Article;;;;;;11;;;;;;;;;;;;
IL12;;0.161186331;NA;0.322372663;NA;0.322372663;10;NA;20;NA;20;pM;pg/ml;Plasma;Healthy control;Mean;Not specified;PMID;24825462;;Article;;;;;;20;;;;;;;;;;;;
IL12;;0.042714378;0.143294649;NA;NA;NA;2.65;8.89;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;25980674;table 2;Article;;;;;;8;;;;;;;;;;;;
IL12;;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;NA;NA;PMID;12072014;Fig 2, left column, line 13, page 227;Article;;4;6;29.8;;1;;;;;;;;;;;;
IL12;;0.001611863;NA;NA;NA;NA;0.1;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;NA;PMID;17332188;table 3;Article;;85;102;;;187;;;;;;;;;;;;
IL12;;0.001611863;NA;NA;NA;NA;0.1;NA;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;NA;PMID;17332188;table 3;Article;;86;100;;;186;;;;;;;;;;;;
IL12;;0.00483559;0.001611863;NA;NA;NA;0.3;0.1;NA;NA;NA;pM;pg/ml;Lymph node;Healthy control;Mean;SD;PMID;24364843;Fig.2A,p.205;Article;;25;;;;25;;;;;;;;;;;;
IL12;;0.032237266;0.032237266;0.838168923;0.032237266;0.838168923;2;2;52;2;52;pM;pg/ml;Serum;Healthy control;Median;Not specified;PMID;17047294;table 1;Article;;10;9;;;19;;;;;;;;;;;;
IL12;;1.029980658;0.367504836;2.730496454;0.367504836;2.730496454;63.9;22.8;169.4;22.8;169.4;pM;pg/ml;Plasma;Healthy control;Median;Not specified;PMID;26059032;Table 2, p.6;Article;;;9;55;;9;;;;;;;;;;;;
IL12;;0.020309478;0.011283043;NA;NA;NA;1.26;0.7;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;24288431;table 1;Article;;;;;;30;;;;;;;;;;;;
