Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);FEV1, L;FEV1, % predicted;FEV1 before salbutamol (% predicted);FEV1 after salbutamol (% predicted);PC20 аfer methacholine;Severity
IL1b;;0.086504065;0.016910569;NA;NA;NA;2.66;0.52;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SD;PMID;28490868;;Article;;;;;;40;;;;;;;;;;;;
IL1b;;0.049430894;0.004878049;NA;NA;NA;1.52;0.15;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;DB;http://dx.doi.org/10.1016/j.ejcdt.2015.01.005;Table 7, p. 350;Article;;17;3;55.05;;20;;;;Nonsmokers;;;;;;;;
IL1b;;4.302113821;0.30504065;14.59121951;0.30504065;14.59121951;132.29;9.38;448.68;9.38;448.68;pM;pg/ml;Sputum;Healthy control;Mean;Not specified;PMID;21622588;;Article;;;;;;15;;;;;;;;;;;;
IL1b;;0.019186992;0.031869919;NA;NA;NA;0.59;0.98;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;25980674;table 2;Article;;;;;;8;;;;;;;;;;;;
IL1b;;0.004878049;0.061788618;NA;NA;NA;0.15;1.9;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;17332188;table 3;Article;;85;102;;;187;;;;;;;;;;;;
IL1b;;0.007479675;0.064065041;NA;NA;NA;0.23;1.97;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;17332188;table 3;Article;;86;100;;;186;;;;;;;;;;;;
IL1b;;0.048780488;0.008130081;NA;NA;NA;1.5;0.25;NA;NA;NA;pM;pg/ml;Lymph node;Healthy control;Mean;SEM;PMID;11263768;Table3,p.544;Article;;;;25;;20;;;;;;;;;;;;
IL1b;;0.455284553;0.06504065;NA;NA;NA;14;2;NA;NA;NA;pM;pg/ml;Lymph node;Healthy control;Mean;SD;PMID;24364843;Fig.2A,p.205;Article;;25;;;;25;;;;;;;;;;;;
IL1b;;0.195121951;0.487804878;NA;NA;NA;6;15;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;24363402;page 10;Article;;;;;;50;;;;;;;;;;;;
IL1b;;0.032520325;0.016260163;0.068292683;NA;NA;1;0.5;2.1;NA;NA;pM;pg/mL;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;23300021;Table 1, p. 339;Article;White/Japanese/Latino/African American/Hawaiian;313;228;70;;541;;26.4;;;;12.3;;;;;;
IL1b;;3.739837398;0.325203252;NA;NA;NA;115;10;NA;NA;NA;pM;pg/ml;Serum;Healthy control;Mean;SEM;PMID;26520877;fig 3, p 12;Article;;4;6;47;;;;;;;;;;;;;;
IL1b;;0.053658537;0.110243902;NA;NA;NA;1.65;3.39;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;GeomMean;GeomSD;PMID;20501772;tab 2, p 1581;Article;;34;52;54;;86;;25.3;;;;;;;;;;
IL1b;;0.04097561;0.032520325;0.055284553;NA;NA;1.26;1;1.7;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;22238172;tab 2, p 1867;Article;Caucasian/other;7;14;42;;21;;;;;;;;;;;;
IL1b;;0.016910569;0.003577236;NA;NA;NA;0.52;0.11;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SEM;PMID;11399697;Tab.2, p.1727;Article;;;;;;6;;;;Nonsmokers;;;;;;;;
IL1b;;0.033495935;0.012682927;NA;NA;NA;1.03;0.39;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SEM;PMID;11399697;Tab.2, p.1727;Article;;;;;;6;;;;Nonsmokers;;;;;;;;
IL1b;;0.018211382;0.002926829;NA;NA;NA;0.56;0.09;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SEM;PMID;11399697;Tab.2, p.1727;Article;;;;;;;;;;;;;;;;;;
IL1b;;0.03804878;0.013658537;NA;NA;NA;1.17;0.42;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SEM;PMID;11399697;Tab.2, p.1727;Article;;;;;;;;;;;;;;;;;;
IL1b;;0.33495935;0;1.352845528;0;1.352845528;10.3;0;41.6;0;41.6;pM;pg/mL;Sputum;Healthy control;Average;Not specified;PMID;20205953;Fig. 1, p. 4;Article;;6;10;25.2;;16;;;;;;;;105.6;;;16;
IL1b;;1.307317073;0.285528455;NA;NA;NA;40.2;8.78;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SE;PMID;17438101;Tab. 1, p. 2424;Article;;;;;;378;;;;;;;;;;;;
IL1b;;3.317073171;0.06504065;40.7804878;0.06504065;40.7804878;102;2;1254;2;1254;pM;pg/mL;Serum;Healthy control;Mean;Not specified;PMID;28398462;Fig. 1, p. 562;Article;;5;11;59.2;;16;;;;Ex - 7/current - 3/non-smoker - 6;;;;;;109;;
IL1b;;0.094308943;0.016260163;NA;NA;NA;2.9;0.5;NA;NA;NA;pM;pg/mL;Plasma;Healthy control;Mean;SD;PMID;24163809;Fig. 4, p. 5;Article;;;;;;270;;;;;;;;;;;;
IL1b;;0.240650407;0.178861789;0.250406504;NA;NA;7.4;5.5;7.7;NA;NA;pM;pg/mL;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;25587794;Tab. 1, p. 693;Article;;10;9;51.1;;19;;;;;;;;;;;;
IL1b;;0.010731707;0.010731707;0.015284553;NA;NA;0.33;0.33;0.47;NA;NA;pM;pg/mL;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;;;;;4;;;;;;;;;;;;
IL1b;;0.034471545;0.024065041;0.043252033;NA;NA;1.06;0.74;1.33;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;11;2;49;;13;;;;No current smoking;;;;;;;;
IL1b;;0.032520325;0.018211382;0.055609756;NA;NA;1;0.56;1.71;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;19;9;49;;28;;;;Current smoking - 3;;;;;;;;
IL1b;;4.715447154;1.788617886;NA;0.019512195;31.6097561;145;55;NA;0.6;972;pM;pg/mL;Serum;COVID-2019;Mean;Not specified;PMID;32416070;Fig. 4, p. 7;Article;;;;;;24;;;;;;;;;;;;
IL1b;;4.325203252;1.788617886;NA;0.019512195;36.42276423;133;55;NA;0.6;1120;pM;pg/mL;Serum;Healthy control;Mean;Not specified;PMID;32416070;Fig. 4, p. 7;Article;;;;;;24;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Serum;Plasma;Sputum;linning fluid;lymph node;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HC;0.140813008;0.026341463;2.318536585;23.18536585;0.25203252;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
COVID-19;4.715447154;0.033495935;NA;NA;NA;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
