Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);
Macrophages;;623700;256500;NA;NA;NA;23.1;9.5;NA;NA;NA;kcells/L;%cells_sputum_GOLD4_18699941;Sputum;Chronic bronchitis (COPD);Mean;SE;PMID;18699941;Tab. 1, p. 9;Article;;9;1;69;;10;;;;Current smokers - 1, ex smokers - 9, never smokers - 0;;;
Macrophages;CD68+;1073945.14880742;936529.04725514;NA;NA;NA;47;42.9;NA;NA;NA;kcells/L;cells/mm2_Bronchial_Submucosa;Bronchial submucosa;Healthy control;Median;IQR (Q3-Q1);PMID;18699941;Tab. 2, p. 10;Article;;6;2;55.9;;8;;;;Nonsmokers;;;
Macrophages;CD68+;115025.495179217;133387.184684125;NA;NA;NA;10.6;11.7;NA;NA;NA;kcells/L;cells/mm2_Airway_Smooth_Muscle;Airway smooth muscle;Healthy control;Median;IQR (Q3-Q1);PMID;18699941;Tab. 2, p. 10;Article;;6;2;55.9;;8;;;;Nonsmokers;;;
Macrophages;CD68+;65738.4717810887;501781.871481267;NA;NA;NA;7.3;28.3;NA;NA;NA;kcells/L;cells/mm2_Bronchial_Glands;Bronchial glands;Healthy control;Median;IQR (Q3-Q1);PMID;18699941;Tab. 2, p. 10;Article;;6;2;55.9;;8;;;;Nonsmokers;;;
Macrophages;CD68+;2746746.79394393;2543109.30478339;NA;NA;NA;87.9;83.5;NA;NA;NA;kcells/L;cells/mm2_Bronchial_Submucosa;Bronchial submucosa;Healthy control;Median;IQR (Q3-Q1);PMID;18699941;Tab. 2, p. 10;Article;;8;2;53.3;;10;;;;Smokers;;;
Macrophages;CD68+;51454.4390465196;103821.692761248;NA;NA;NA;6.2;9.9;NA;NA;NA;kcells/L;cells/mm2_Airway_Smooth_Muscle;Airway smooth muscle;Healthy control;Median;IQR (Q3-Q1);PMID;18699941;Tab. 2, p. 10;Article;;8;2;53.3;;10;;;;Smokers;;;
Macrophages;CD68+;55233.8541261154;124928.736506026;NA;NA;NA;6.5;11.2;NA;NA;NA;kcells/L;cells/mm2_Bronchial_Glands;Bronchial glands;Healthy control;Median;IQR (Q3-Q1);PMID;18699941;Tab. 2, p. 10;Article;;8;2;53.3;;10;;;;Smokers;;;
Macrophages;CD68+;434245.172059721;979419.435095829;NA;NA;NA;25.7;44.2;NA;NA;NA;kcells/L;cells/mm2_Bronchial_Submucosa;Bronchial submucosa;Chronic bronchitis (COPD);Median;IQR (Q3-Q1);PMID;18699941;Tab. 2, p. 10;Article;;8;2;69.4;;10;;;;Smokers;;;
Macrophages;CD68+;25670.3756612754;158030.988672788;NA;NA;NA;3.9;13.1;NA;NA;NA;kcells/L;cells/mm2_Airway_Smooth_Muscle;Airway smooth muscle;Chronic bronchitis (COPD);Median;IQR (Q3-Q1);PMID;18699941;Tab. 2, p. 10;Article;;8;2;69.4;;10;;;;Smokers;;;
Macrophages;CD68+;123259.324077163;722929.782161594;NA;NA;NA;11.1;36.1;NA;NA;NA;kcells/L;cells/mm2_Bronchial_Glands;Bronchial glands;Chronic bronchitis (COPD);Median;IQR (Q3-Q1);PMID;18699941;Tab. 2, p. 10;Article;;8;2;69.4;;10;;;;Smokers;;;
Macrophages;CD14+;8525.15705333339;2.05718253929981;40841.9541977777;2.05718253929981;40841.9541977777;12.9;0.05;36.66;0.05;36.66;kcells/L;cells/mm_basement membrane_bronchial mucosa;Bronchial mucosa;Asthma;Median;Not specified;PMID;1918731;fig. 7 p.670;Article;;12;9;25.4;;21;;;;;;;
Macrophages;CD14+;13136.7860982059;4.16344472762639;35596.8858706489;4.16344472762639;35596.8858706489;17.21;0.08;33.45;0.08;33.45;kcells/L;cells/mm_basement membrane_bronchial mucosa;Bronchial mucosa;Atopy, nonasthma;Median;Not specified;PMID;1918731;fig. 7 p.670;Article;;9;1;22.9;;10;;;;;;;
Macrophages;CD14+;17859.0640075668;1098.02358826393;49316.0018008902;1098.02358826393;49316.0018008902;21.12;3.29;41.57;3.29;41.57;kcells/L;cells/mm_basement membrane_bronchial mucosa;Bronchial mucosa;Healthy control;Median;Not specified;PMID;1918731;fig. 7 p.670;Article;;6;6;23.7;;12;;;;;;;
Macrophages;;63.4;55.1;71.6;NA;NA;63.4;55.1;71.6;NA;NA;kcells/L;%;Induced Sputum;Non-Small Cell Lung Cancer (NSCLC);Median;IQR(Q1, Q3);PMID;21649887;p. 3, Section Results;Article;;;;;;30;;;;;;;
Macrophages;;85.8;78.4;87.9;NA;NA;85.8;78.4;87.9;NA;NA;kcells/L;%;Induced Sputum;Healthy control;Median;IQR(Q1, Q3);PMID;21649887;p. 3, Section Results;Article;;;;;;10;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;104.19;15.93;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;38;;;;38;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;103.07;15.74;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;27;;;27;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;105.45;18.96;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;34;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;101.88;14.11;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;31;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;103.17;15.15;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;36;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;103.98;11.67;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;29;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;120.44;35.83;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;35;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;94.26;14.52;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;30;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;96.38;21.55;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;39;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;115.49;30.94;NA;NA;NA;kcells/L;cell_counts/field_tumor_22086517;Lung adenocarcinoma tumor tissue;Adenocarcinoma of bronchus or lung;Mean;SD;PMID;22086517;Tab. 1, p. 1881;Article;;;;;;26;;;;;;;
Macrophages;;NA;NA;NA;NA;NA;72.2;21.1;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Sarcoidosis;Mean;SD;PMID;21734340;tab.4 p.217;Article;;6;6;39.9;;12;;;;;;;
Macrophages;;NA;NA;NA;NA;NA;86.3;6.3;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Chronic obstructive pulmonary disease (COPD);Mean;SD;PMID;21734340;tab.4 p.217;Article;;8;4;54.5;;12;;;;;;;
Macrophages;;NA;NA;NA;NA;NA;86.8;5.6;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Lung cancer;Mean;SD;PMID;21734340;tab.4 p.217;Article;;3;3;57.8;;6;;;;;;;
Macrophages;;NA;NA;NA;NA;NA;87.6;6.8;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Chronic cough;Mean;SD;PMID;21734340;tab.4 p.217;Article;;1;4;38.2;;5;;;;;;;
Macrophages;;NA;NA;NA;NA;NA;70;NA;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Wegener’s granuloma;Single value;NA;PMID;21734340;tab.4 p.217;Article;;;1;50;;1;;;;;;;
Macrophages;;NA;NA;NA;NA;NA;88;NA;NA;NA;NA;kcells/L;%cells_BAL;Broncho-alveolar lavage (BAL);Sclerodermia;Single value;NA;PMID;21734340;tab.4 p.217;Article;;;1;52;;1;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;39;30;49;NA;NA;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Mean;95%Cl;PMID;26413839;p. 5, Section Results;Article;;;;;;70;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;5;1;34;NA;NA;kcells/L;cells/per 1000 cells_normal lung;Lung tissue;Healthy control;Mean;95%Cl;PMID;26413839;p. 5, Section Results;Article;;;;;;8;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;75;62;92;NA;NA;kcells/L;cells/per 1000 cells_lung cancer;Lung cancer tissue;Lung cancer;Mean;95%Cl;PMID;26413839;p. 5, Section Results;Article;;;;;;22;;;;;;;
