Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);
Macrophages;CD68+;NA;NA;NA;NA;NA;154.8;152.4;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;29;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;388;256.4;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;29;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;198.4;153.2;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;19;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;497.6;290;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;19;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;88;138.4;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;12;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;258.8;196;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;12;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;188;136.4;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;23;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;486;286;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;23;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;199.6;161.6;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;16;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;467.6;250.8;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;16;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;188;164;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;18;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;472;267.2;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;18;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;72.8;48.8;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;8;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;419.6;242.8;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;8;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;184;152.8;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;25;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;396.4;283.2;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;25;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;162;147.6;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;35;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;438;296.4;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;35;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;179.6;157.6;NA;NA;NA;kcells/L;cell/mm2_intratumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;16;;;;;;;
Macrophages;CD68+;NA;NA;NA;NA;NA;401.2;201.2;NA;NA;NA;kcells/L;cell/mm2_peritumoral_melanoma;Melanoma tumor tissue;Melanoma;Mean;SD;PMID;17387385;Tab. 4, p. 27;Article;;;;;;16;;;;;;;
