Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);FEV1, L;FEV1, % predicted;FEV1 before salbutamol (% predicted);FEV1 after salbutamol (% predicted);PC20 аfer methacholine;Severity;
IL12p70;;0.00210526315789474;0.000578947368421053;0.00789473684210526;NA;NA;0.4;0.11;1.5;NA;NA;pM;pg/ml;Serum;Healthy control;Median;IQR(Q1, Q3);PMID;20373009;tab 3, p 16;Article;European/African-American/Latina;;;57.3;;184;67.2;25.5;162.5;never/current/past smoker;;;;;;;;;
IL12p70;;0.963157894736842;0.000526315789473684;9.29473684210526;0.000526315789473684;9.29473684210526;183;0.1;1766;0.1;1766;pM;pg/mL;Serum;Healthy control;Mean;Not specified;PMID;28398462;Fig. 1, p. 562;Article;;5;11;59.2;;16;;;;Ex - 7/current - 3/non-smoker - 6;;;;;;109;;;
IL12p70;;0.006;0.006;0.0373684210526316;NA;NA;1.14;1.14;7.1;NA;NA;pM;pg/mL;Plasma;Healthy control;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;;;;;4;;;;;;;;;;;;;
IL12p70;;0.0410526315789474;0.0157894736842105;0.0657894736842105;NA;NA;7.8;3;12.5;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;11;2;49;;13;;;;No current smoking;;;;;;;;;
IL12p70;;0.0273684210526316;0.005;0.0484210526315789;NA;NA;5.2;0.95;9.2;NA;NA;pM;pg/mL;Plasma;COVID-2019;Median;IQR(Q1, Q3);PMID;31986264;Suppl. Fig. 1, p. 6;Article;;19;9;49;;28;;;;Current smoking - 3;;;;;;;;;

