Species name;Markers;Species value;Species dispersion left;Species dispersion right;Species min value;Species max value;Species value (original);Species dispersion left(original);Species dispersion right(original);Species min value(original);Species max value(original);Unified units;Original unit;Tissue type;Disease;Average type;Dispersion type;ID type;ID value;Link;Source type;Patient race/ethnicity;Patient # male;Patient # female;Patient group average age;Patient group comment;Patient number;Patient weight (kg);Patient BMI;Patient height (cm);Patient Smoking status;Breast milk feeding (%);Fasting before blood draw (hours);FEV1, L;FEV1, % predicted;FEV1 before salbutamol (% predicted);FEV1 after salbutamol (% predicted);PC20 аfer methacholine;Severity;
IL12p40;;0.677966101694915;0.699488835082055;NA;NA;NA;25.2;26;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;PMID;30814550;tab 4, p 6;Article;;10;17;45.2;;27;;28;;;;;;;;;;;
IL12p40;;0.669895076674738;0.357546408393866;NA;NA;NA;24.9;13.29;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SD;PMID;16258194;Table 1, p. 274;Article;;;;;;23;;;;;;;;;;;;;
IL12p40;;4.6031746031746;0.175410277105192;NA;NA;NA;171.1;6.52;NA;NA;NA;pM;pg/mL;Serum;Healthy control;Mean;SE;PMID;17438101;Tab. 1, p. 2424;Article;;;;;;378;;;;;;;;;;;;;
IL12b;;1.04842615012107;0.215496368038741;NA;NA;NA;38.97;8.01;NA;NA;NA;pM;pg/ml;Plasma;Healthy control;Mean;SD;PMID;26424214;;Article;;;;;;6;;;;;;;;;;;;;

